file,ID,titleStmt_author,titleStmt_title,author_birth,author_death,titleStmt_author_viaf,firstEdition_date,titleStmt_title_viaf,language,words,authorGender,size,reprintCount,timeSlot
SRP19011_VidVV_CarDubrovnik.xml,SRP19011,"Вулетић-Вукасовић, Вид ",Причек Цара Душана у Дубровнику год. 1349. : историчка новела из XIVв. : ELTeC издање,1853,1933,viaf:303498941 wikidata:Q7927613,1901,wikidata:Q109336229,српски,24883,M,short,low,T4
SRP19012_JelenaD_DjulMarika.xml,SRP19012,"Димитријевић, Јелена ",Ђул-Марикина прикажња : приповетка : ELTeC издање,1862,1945,viaf:70015495 wikidata:Q3625974,1901,wikidata:Q109336076,српски,20244,F,short,low,T4
SRP19021_BranislavN_OpstinskoDet.xml,SRP19021,"Нушић, Бранислав ",Општинско дете: роман једног одојчета : ELTeC издање,1864,1938,viaf:73889774 wikidata:Q315136,1902,wikidata:Q109336115,српски,63780,M,medium,high,T4
SRP19023_DragutinR_Slavko.xml,SRP19023,"Ранковић, Драгутин Ј. ",Славко : ELTeC издање,1882,1956,viaf:252838823 wikidata:Q108983658,1902,wikidata:Q109336242,српски,25302,M,short,low,T4
SRP19024_MickoHarambasa.xml,SRP19024,"Тасић, Димитрије С. ",Харамбаша Мицко : српски војвода и заточеник у Фесану : ELTeC издање,????,?,viaf:305715401 wikidata:Q108983655,1902,wikidata:Q109336252,српски,59480,M,medium,low,T4
SRP19025_RadojeD_Stradija.xml,SRP19025,"Домановић, Радоје М. ",Страдија. 1 : ELTeC издање,1873,1908,viaf:7623303 wikidata:Q1280278,1902,viaf:175915304 wikidata:Q109336246,српски,19747,M,short,high,T4
SRP19030_PrvoVeselje.xml,SRP19030,"Костић, Тадија П. ",Прво весеље : приповетка : ELTeC издање,1863,1927,viaf:35277007 wikidata:Q12759877,1903,wikidata:Q109336125,српски,37860,M,short,low,T4
SRP19031_BozaS_DveSestre.xml,SRP19031,"Савић, Божа ",Две сестре или Самоубиство једне шваље : слика из београдског живота : ELTeC издање,1862,1927,viaf:305714596 wikidata:Q108979609,1903,wikidata:Q109336067,српски,54818,M,medium,low,T4
SRP19040_DragutinI_Djera.xml,SRP19040,"Илић, Драгутин Ј. ",Хаџи-Ђера : приповетка : ELTeC издање,1858,1926,viaf:79412565 wikidata:Q16088422,1897,wikidata:Q109336254,српски,53009,M,medium,high,T3
SRP19041_IvoC_ZaKruhom.xml,SRP19041,"Ћипико, Иво ",За крухом : ELTeC издање,1869,1923,viaf:22935492 wikidata:Q1276843,1904,wikidata:Q109336079,српски,53434,M,medium,high,T4
